,date,open,high,low,close
1523,2011-07-13,3060.42,3108.5,3060.42,3106.25
1524,2011-07-14,3112.59,3126.15,3092.47,3115.75
1525,2011-07-15,3105.5,3130.77,3097.34,3128.89
1526,2011-07-18,3131.8,3137.92,3113.67,3122.6
1527,2011-07-19,3108.47,3109.92,3088.38,3095.12
1528,2011-07-20,3113.71,3119.54,3071.85,3091.57
1529,2011-07-21,3092.27,3099.28,3058.25,3059.14
1530,2011-07-22,3066.19,3083.19,3059.6,3067.99
1531,2011-07-25,3050.9,3050.9,2958.88,2968.29
1532,2011-07-26,2965.72,2980.86,2957.61,2977.77
1533,2011-07-27,2961.58,3002.69,2951.52,3000.05
1534,2011-07-28,2973.64,2984.38,2956.71,2981
1535,2011-07-29,2981.02,2995.97,2948.08,2972.08
1536,2011-08-01,2969.11,2991.05,2958.83,2977.72
1537,2011-08-02,2958.85,2958.85,2919.01,2956.38
1538,2011-08-03,2930.19,2969.13,2927.1,2954.87
1539,2011-08-04,2962.91,2983.01,2951.84,2960.31
1540,2011-08-05,2881.74,2916.41,2868.16,2897.42
1541,2011-08-08,2864.51,2888.77,2747.97,2793.9
1542,2011-08-09,2720.95,2812.77,2697.06,2798.19
1543,2011-08-10,2845.35,2858.55,2820.12,2824.12
1544,2011-08-11,2779.72,2867.31,2777.76,2866.92
1545,2011-08-12,2881.55,2894.22,2868.87,2875.36
1546,2011-08-15,2883.17,2917.88,2870.19,2917.88
1547,2011-08-16,2920.83,2932.14,2888.33,2897.58
1548,2011-08-17,2893.85,2910.83,2881.63,2886.01
1549,2011-08-18,2887.1,2890,2832.27,2834.25
1550,2011-08-19,2789.35,2814.1,2782.56,2807.66
1551,2011-08-22,2809.33,2829.69,2768.42,2777.79
1552,2011-08-23,2788.7,2821,2777.29,2821
1553,2011-08-24,2834.58,2845.47,2804.82,2810.02
1554,2011-08-25,2818.7,2904.44,2815.91,2903.84
1555,2011-08-26,2889.38,2907.4,2876.83,2901.22
1556,2011-08-29,2875.78,2875.78,2847.48,2852.81
1557,2011-08-30,2875.14,2901.73,2838.33,2841.74
1558,2011-08-31,2843.99,2855.3,2823.77,2846.78
1559,2011-09-01,2852.39,2869.25,2825.96,2834.53
1560,2011-09-02,2828.84,2836.62,2790.77,2803.85
1561,2011-09-05,2780.83,2780.83,2743.38,2743.82
1562,2011-09-06,2727.75,2745.36,2711.07,2723.3
1563,2011-09-07,2738.79,2779.21,2730.05,2779.09
1564,2011-09-08,2788.83,2789.11,2755.8,2756.1
1565,2011-09-09,2770.15,2796.35,2739.62,2751.09
1566,2011-09-13,2712.44,2726.19,2698.66,2720.28
1567,2011-09-14,2729.26,2736.91,2677.13,2733.11
1568,2011-09-15,2734.55,2754.19,2728.91,2729.05
1569,2011-09-16,2744.22,2755.89,2729,2733.99
1570,2011-09-19,2718.32,2718.32,2678.79,2679.27
1571,2011-09-20,2675.04,2702.28,2664.1,2689.84
1572,2011-09-21,2691.7,2778.35,2677.35,2771.01
1573,2011-09-22,2745.15,2754.92,2684.94,2685.69
1574,2011-09-23,2644.29,2681.23,2631.43,2669.48
1575,2011-09-26,2645.25,2679.56,2603.11,2610.92
1576,2011-09-27,2634.93,2652.56,2613.42,2637.88
1577,2011-09-28,2654.83,2660.1,2602.63,2610.59
1578,2011-09-29,2593.56,2615.14,2577.29,2588.19
1579,2011-09-30,2595.58,2607.57,2572.19,2581.35
1580,2011-10-10,2588.35,2595.32,2552.28,2557.08
1581,2011-10-11,2625.16,2635.69,2526.65,2551.99
1582,2011-10-12,2537.4,2647.01,2523.34,2644.76
1583,2011-10-13,2636.86,2672.91,2629.41,2662.6
1584,2011-10-14,2655.36,2665.44,2629.88,2653.78
